Código,Produto / Descrição
2000290,CESTA BASICA FABRICAÇÃO PRÓPRIA N01
2000291,CESTA BASICA FABRICAÇÃO PRÓPRIA N02
2000292,CESTA BASICA FABRICAÇÃO PRÓPRIA N03
2000293,CESTA BASICA FABRICAÇÃO PRÓPRIA SIMAS
2000622,ÁGUA MINERAL SANTA MARIA SEM GÁS GALÃO 10L
2000623,ÁGUA MINERAL SANTA MARIA SEM GÁS GALÃO 20L
2000637,ÁGUA MINERAL STER BOM SEM GÁS GALÃO 10L
2000642,ÁGUA MINERAL STER BOM VASILHAME 10L
2000643,ÁGUA MINERAL STER BOM VASILHAME 20L
2004053,GARRAFÃO PVC INDAIA 20L VASILHAME UNIDADE
2004054,GARRAFÃO PVC SANTA MARIA 10L UNIDADE
2004055,GARRAFÃO PVC SANTA MARIA COM ROSCA 20L UNIDADE
2004056,GARRAFÃO PVC STER BOM 10L UNIDADE
2004057,GARRAFÃO PVC STER BOM 20L UNIDADE
2014350,CESTA BASICA FABRICAÇÃO PRÓPRIA PRODUMAR
2014413,COLETE PROMOTOR TACTEL AZ UNIDADE
2014600,CESTA NATALINA AMETISTA FABRICAÇÃO PRÓPRIA
2014601,CESTA NATALINA CRISTAL FABRICAÇÃO PRÓPRIA
2014602,CESTA NATALINA ESMERALDA FABRICAÇÃO PRÓPRIA
2014603,CESTA NATALINA OPALA FABRICAÇÃO PRÓPRIA
2014604,CESTA NATALINA PEROLA FABRICAÇÃO PRÓPRIA
2014745,CESTA NATALINA QUARTZO FABRICAÇÃO PRÓPRIA
2014746,CESTA NATALINA RUBI FABRICAÇÃO PRÓPRIA
2014747,CESTA NATALINA SAFIRA FABRICAÇÃO PRÓPRIA
2014748,CESTA NATALINA TOPAZIO FABRICAÇÃO PRÓPRIA
2014749,CESTA NATALINA TURMALINA FABRICAÇÃO PRÓPRIA
2015182,CESTA NATALINA QUARTZO 2 FABRICAÇÃO PRÓPRIA
2017738,CESTA NATALINA QUARTZO S/F FABRICAÇÃO PRÓPRIA
2017739,CESTA NATALINA TURMALINA S/F FABRICAÇÃO PRÓPRIA
2017795,CESTA NATALINA CRISTAL S/F FABRICAÇÃO PRÓPRIA
2017843,PIMENTA CHEIRO ORGANICA 150G
2019355,MILHO ORGANICO 600G
20222,ÁGUA SANTA MARIA 20L PREMIUM
202340,CESTA BASICA SOLAR ALTAVISTA
20248,GARRAFÃO SANTA MARIA 20L PLUS
204564,CAMARAO INTEIRO CONGELADO CAMANOR AG QUILOGRAMA
20575,MELAO TURMA DA MONICA
2255428000004,PIZZA QUATRO QUEIJOS FERM NATURAL 450G
250001,LARANJA PERA QUILOGRAMA
250002,ABACAXI QUILOGRAMA
250003,MELANCIA QUILOGRAMA
250004,CEBOLA BRANCA QUILOGRAMA
250005,BATATA INGLESA LISA QUILOGRAMA
250006,MACAXEIRA QUILOGRAMA
250008,TOMATE SANTA ADELIA QUILOGRAMA
250009,CENOURA QUILOGRAMA
250010,MELAO JAPONES QUILOGRAMA
250011,TOMATE LONGA VIDA QUILOGRAMA
250015,CHUCHU QUILOGRAMA
250016,LIMAO TAHITY QUILOGRAMA
250017,JERIMUM LEITE QUILOGRAMA
250018,TANGERINA NACIONAL QUILOGRAMA
250019,GOIABA QUILOGRAMA
250020,MARACUJA QUILOGRAMA
250021,PIMENTAO VERDE QUILOGRAMA
250023,REPOLHO BRANCO QUILOGRAMA
250024,CEBOLA ROXA QUILOGRAMA
250027,TANGERINA MURCOTE QUILOGRAMA
250028,UVA ITALIA QUILOGRAMA
250029,PERA DANJOU IMPORTADA QUILOGRAMA
250030,MELAO ESPANHOL QUILOGRAMA
250031,MANGA TOMMY QUILOGRAMA
250032,CARA SAO TOME QUILOGRAMA
250035,BETERRABA QUILOGRAMA
250036,INHAME QUILOGRAMA
250037,LIMAO COMUM QUILOGRAMA
250038,LARANJA MIMO QUILOGRAMA
250039,FEIJAO VERDE DEBULHADO QUILOGRAMA
250040,CAJU ANAO PRECOCE QUILOGRAMA
250041,KIWI IMPORTADO QUILOGRAMA
250042,PEPINO QUILOGRAMA
250044,JERIMUM CABOCLO QUILOGRAMA
250045,PERA PORTUGUESA QUILOGRAMA
250080,PÃO FRANCES FABRICAÇÃO PRÓPRIA QUILOGRAMA
250087,CAMARAO QUILOGRAMA
250092,ABACAXI DESCASCADO INTEIRO VACUO CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
250094,ABACAXI RODELAS VÁCUO CENTRAL DE FRUTAS LEGUMES E VERDURAS QUILOGRAMA
250098,ABOBORA MORANGA QUILOGRAMA
250104,ACELGA QUILOGRAMA
